,Smiles,He,H2,O2,N2,CO2,CH4,ONdist,CCdist,CNdist,HCdist
235226,*c1sc(*)c2c1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N2,6.10443749639693,6.684582331905961,7.89487828225632,7.558985028160642,7.428366919568591,8.33061944408505,0.644834487667691,-0.6369995945958333,-0.1522705374494256,0.5724293902941198
851464,*C/C=C1\CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(*)CC1,4.827884674190746,5.1721234590530365,5.938448390442084,5.439121465520657,5.850067003229512,6.21245111215325,0.4629582825882277,-0.6959381672621587,-0.15720963226315898,-0.018749059205358076
79545,*CC(*)C(=O)OC1CCCC1C1CCC2CCCCC(C3CCCCC3)N1C(CC)CC(C)(C)CCC2,3.9208932613132887,4.14619680865414,4.506705321233321,3.842742679945333,4.664491221826127,4.562831338259564,0.37489134723944173,-0.681701626236302,-0.15692455794003712,-0.3047674566104689
19837,*CC(*)C(=O)OC1CCCCCCCCCCCCCCCCCCCCCCC1,3.647513109289201,3.8224143124050176,4.150683872621605,3.4318791057485933,4.29877464078278,4.199511534816056,0.3668956871444975,-0.8228512746839869,-0.23841072996785972,-0.4034860634970091
318542,*CC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.978884963327008,3.2019027569568674,3.2314401898030694,2.424304502323584,3.184551881693051,2.5854793100059887,0.29298009773349964,-0.7457779237622917,-0.7308700903035377,-0.17932809853838028
10904,*CC1CCCCCCS(=O)(=O)CCCCCCS(=O)(=O)CCCCC(=O)OCC(SS*)CC1,2.868091166970588,3.023261509042624,2.9024099187297927,2.0443042525630983,3.124812338766477,3.018309570081393,0.28587623357627523,-1.2610129093506122,-0.4312948207710712,-0.3758324307694226
799870,*CCCCCC[Si](*)(C)CC[Si](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.008351992980834,3.164537473142639,3.1179546188599163,2.312419693536715,3.4316462550729807,2.767167055520847,0.271349132305749,-0.5866236906368749,-0.28633191458413165,-0.4800194168160435
521736,*CC1COCC(*)(C)C(=O)OCCCCCCCCCCCCCCCCOCCO1,3.2730520967998284,3.4526483036771487,3.5620246816222614,2.851045729747075,3.69179349830066,3.549185895678012,0.25517152493528805,-1.0097954234857789,-0.4747320222386686,-0.32689908296946074
867529,*CC1CCC(COC(=O)CCCCCN2CCCCCCCCCCCCCCCN(*)C(SC)CC2)C1,3.223192453541399,3.3381849968656283,3.4266437067990454,2.7069791773856005,3.6979006334232154,3.449738667390849,0.23996236041724883,-0.9019240130105628,-0.3224436757786846,-0.49719294228473576
44091,*CC1CCC(SC)CCCCCCCCN(*)CCN2CN(CCC2=O)CC(C)(C)C1,3.6197406741212927,4.00273768495106,4.082499703689536,3.4787997390560346,4.2726734430268785,4.113168245917762,0.23975637908847724,-0.7725119779701828,-0.3204703718885087,-0.11872814282754052
45557,*/C=C1\CCCCCCCCCCCCCCCCOCCC(*)COC1,3.768100127419803,4.076389153475668,4.336428326470215,3.778521154316103,4.421878683857181,4.329579530085087,0.2387819885298773,-0.7831095529361887,-0.41932268176484566,-0.16228735886711473
482448,*CC1C(=O)OCCCCCCCCCCCCCCCCCCCOC1*,3.4051057223804606,3.620825756742207,3.730917612968753,3.0708333635560607,3.894686342007944,3.7765204065030016,0.2340864248554495,-0.9572595457009412,-0.42137305759408106,-0.28855736976066176
842175,*CC1CCC(CC)C(SS[SH]=C(C)SCl)CNC(=O)CCCCCCCCCCCCCCCCCC=CCC1*,3.952591565925516,4.307794622138468,4.5892358496523356,4.0837631212334,4.713910629240472,4.7207269025355565,0.23096807263634556,-0.7714280599249461,-0.3314136086370463,-0.12239017413547787
291782,*CC(*)(F)C(=O)N1C(F)(F)C(F)(F)C(F)(F)C(F)C(F)(F)C(F)(F)C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.17592155055806,2.3449989762853978,2.290030578295084,1.3849307198660652,2.1741241000750766,1.3573511330647963,0.22478547225187362,-0.9114338287849331,-1.0517952049826824,-0.3980472690390823
190458,*CC1CCC(CN(*)C)C2C(=O)OCCCCCCCCCCCCCS(=O)(=O)C12,2.9532422332393327,3.091311903080543,2.9999606374966072,2.224436614297584,3.2389535830923126,3.030816546390666,0.2205122924709466,-1.1160734532368275,-0.4577633466541553,-0.3923618587993377
604595,*CC(*)(C)C(=O)OC1CCCCCCCCCCCCCCCC(C)N(C(F)(F)F)CC1,3.3368428919891735,3.6387291059807145,3.6500655527519466,2.990015395564843,3.884306495860736,3.635232396769117,0.21978194400159434,-0.8302894957425149,-0.35452906530242867,-0.2524968723599563
604655,*C1CCCCCCCCCCCCCCCCCCCCC(C#N)C=CC1=*,3.877168487085223,4.241427241951653,4.498160941317144,4.001859772916641,4.579332691948805,4.471542472772469,0.2057217912967506,-0.7078804368619847,-0.43068720636945823,-0.08300992988328165
428082,*NC1CCCSCCCCCCCCCCCCCCCC(*)=C(NC(=O)O)CC1,3.512219233891092,3.8154949438567263,3.8708572666199,3.277982462710452,4.061865740468964,3.8595852081763353,0.19157632822163273,-0.8097170851371431,-0.40345515494222295,-0.1765023390939055
535869,*[SiH]C(=O)NC1CCCC2CCCC(*)OCC1CC(=O)OCCCCCCNC(=O)NCCCCCCNC2=O,3.086682356371001,3.397810812152306,3.2421106074590913,2.5425405943387758,3.462753856850646,3.3163575118767694,0.1872977520906175,-1.0929043211006855,-0.4745738833531028,-0.1765186061654202
